# List of Invasions and Interventions (Selected) with Targets and Regions

| Year | Operation / Invasion | Target territory | Region | Outcome summary |
|---|---|---|---|---|
| 1956 | Suez intervention | Egypt | North Africa / Middle East | Canal crisis and withdrawal |
| 1961 | Bay of Pigs invasion | Cuba | Caribbean | Failed landing |
| 1968 | Warsaw Pact invasion of Czechoslovakia | Czechoslovakia | Europe | Occupation and political reset |
| 1979 | Vietnamese invasion of Cambodia | Cambodia | Southeast Asia | Regime toppled |
| 1983 | Invasion of Grenada | Grenada | Caribbean | Government replaced |
| 1989 | Invasion of Panama | Panama | Central America | Noriega removed |
| 1999 | NATO intervention in Kosovo | FR Yugoslavia (Kosovo) | Europe | Air campaign and administration |
| 2001 | Invasion of Afghanistan | Afghanistan | South/Central Asia | Taliban removed from power |
| 2003 | Invasion of Iraq | Iraq | Middle East | Regime change |
| 2014 | Crimea takeover | Crimea (Ukraine) | Eastern Europe | Annexation dispute |
