# Average Admitted GPA by College (Sample List for GPA-Based Comparisons)

| College | State | Average GPA | GPA Scale | Notes |
| --- | --- | --- | --- | --- |
| Arizona State University (Tempe) | AZ | 3.54 | 4.0 | Typical admitted-student academic profile |
| University of Oregon | OR | 3.62 | 4.0 | Mid-range selectivity public university |
| University of Colorado Boulder | CO | 3.71 | 4.0 | Competitive flagship campus |
| Pennsylvania State University (University Park) | PA | 3.67 | 4.0 | Large public research university |
| Purdue University (West Lafayette) | IN | 3.78 | 4.0 | STEM-leaning, more competitive majors |
| University of Wisconsin–Madison | WI | 3.84 | 4.0 | Competitive public flagship |
| Northeastern University | MA | 3.88 | 4.0 | Higher selectivity, holistic review |
| University of Florida | FL | 4.10 | 4.0 (weighted) | Many schools report weighted averages |
| University of Michigan–Ann Arbor | MI | 3.90 | 4.0 | Highly selective public flagship |
| Boston University | MA | 3.75 | 4.0 | Private research university |
