# Secondary School Exam Subject Catalogue (GCSE   A Level or Equivalent) — Choices by Category

| Qualification | Category | Subject options |
| --- | --- | --- |
| GCSE | English | English Language; English Literature |
| GCSE | Mathematics | Mathematics; Statistics (GCSE) |
| GCSE | Science | Combined Science; Biology; Chemistry; Physics |
| GCSE | Humanities | History; Geography; Citizenship; Religious Studies |
| GCSE | Languages | French; Spanish; Mandarin Chinese |
| GCSE | Creative & Performing Arts | Art & Design; Photography; Music; Drama; Media Studies |
| GCSE | Technology | Design & Technology; Textiles; Engineering; Food Preparation & Nutrition |
| GCSE | Computing | Computer Science; Information Technology |
| GCSE | Physical Education | Physical Education |
| A Level | Science & Health | Biology; Chemistry; Physics; Psychology |
| A Level | Maths & Computing | Mathematics; Further Mathematics; Computer Science |
| A Level | Humanities & Social Sciences | History; Geography; Economics; Politics; Sociology |
| A Level | Languages | French; Spanish; Mandarin Chinese |
| A Level | Arts | Fine Art; Photography; Music; Drama and Theatre |
