# Galveston, TX Cruise Departures Schedule (Selected Sailings)

| Departure Date | Ship | Cruise Line | Nights | Itinerary (Highlights) | Destination Region |
| --- | --- | --- | --- | --- | --- |
| 2026-02-01 | Carnival Breeze | Carnival Cruise Line | 7 | Galveston → Cozumel → Belize City → Roatán → Galveston | Western Caribbean |
| 2026-02-08 | Disney Magic | Disney Cruise Line | 5 | Galveston → Cozumel → Progreso (Yucatán) → Galveston | Western Caribbean |
| 2026-02-12 | Royal Caribbean Harmony of the Seas | Royal Caribbean | 7 | Galveston → Roatán → Costa Maya → Cozumel → Galveston | Western Caribbean |
| 2026-02-15 | Carnival Dream | Carnival Cruise Line | 6 | Galveston → Key West → Cozumel → Galveston | Caribbean |
| 2026-02-22 | Royal Caribbean Mariner of the Seas | Royal Caribbean | 5 | Galveston → Costa Maya → Cozumel → Galveston | Western Caribbean |
| 2026-03-01 | Carnival Jubilee | Carnival Cruise Line | 7 | Galveston → Costa Maya → Cozumel → Mahogany Bay → Galveston | Western Caribbean |
| 2026-03-08 | Norwegian Prima | Norwegian Cruise Line | 7 | Galveston → Cozumel → Harvest Caye → Roatán → Galveston | Western Caribbean |
| 2026-03-15 | Royal Caribbean Voyager of the Seas | Royal Caribbean | 4 | Galveston → Cozumel → Galveston | Western Caribbean |
| 2026-03-22 | Carnival Breeze | Carnival Cruise Line | 7 | Galveston → Costa Maya → Cozumel → Belize City → Galveston | Western Caribbean |
