# Checklist of Common Inorganic Ligands  Formula and Charge

| Ligand (name / symbol) | Formula | Charge |
|---|---|---|
| Aqua (H2O) | H2O | 0 |
| Hydroxo (OH−) | OH− | −1 |
| Oxido (O2−) | O2− | −2 |
| Peroxido (O2^2−) | O2^2− | −2 |
| Superoxido (O2−) | O2− | −1 |
| Fluorido (F−) | F− | −1 |
| Chlorido (Cl−) | Cl− | −1 |
| Bromido (Br−) | Br− | −1 |
| Iodido (I−) | I− | −1 |
| Hydrido (H−) | H− | −1 |
| Sulfido (S2−) | S2− | −2 |
| Hydrosulfido (HS−) | HS− | −1 |
| Cyanido (CN−) | CN− | −1 |
| Carbonyl (CO) | CO | 0 |
| Nitrosyl (NO+) | NO+ | +1 |
