# Italian Serie A — 2016–17 Season Participating Clubs

| Club | City | Region | Home stadium | Status entering season |
| --- | --- | --- | --- | --- |
| Atalanta | Bergamo | Lombardy | Atleti Azzurri d'Italia | Stayed up in Serie A |
| Bologna | Bologna | Emilia-Romagna | Renato Dall'Ara | Stayed up in Serie A |
| Cagliari | Cagliari | Sardinia | Sant'Elia | Promoted from Serie B |
| Chievo | Verona | Veneto | Bentegodi | Stayed up in Serie A |
| Crotone | Crotone | Calabria | Ezio Scida | Promoted from Serie B |
| Empoli | Empoli | Tuscany | Carlo Castellani | Stayed up in Serie A |
| Fiorentina | Florence | Tuscany | Artemio Franchi | Stayed up in Serie A |
| Genoa | Genoa | Liguria | Luigi Ferraris | Stayed up in Serie A |
| Inter | Milan | Lombardy | San Siro | Stayed up in Serie A |
| Juventus | Turin | Piedmont | Juventus Stadium | Stayed up in Serie A |
| Lazio | Rome | Lazio | Stadio Olimpico | Stayed up in Serie A |
| Milan | Milan | Lombardy | San Siro | Stayed up in Serie A |
| Napoli | Naples | Campania | San Paolo | Stayed up in Serie A |
| Palermo | Palermo | Sicily | Renzo Barbera | Stayed up in Serie A |
| Pescara | Pescara | Abruzzo | Adriatico | Promoted from Serie B |
| Roma | Rome | Lazio | Stadio Olimpico | Stayed up in Serie A |
| Sampdoria | Genoa | Liguria | Luigi Ferraris | Stayed up in Serie A |
| Sassuolo | Sassuolo | Emilia-Romagna | Mapei Stadium | Stayed up in Serie A |
| Torino | Turin | Piedmont | Olimpico Grande Torino | Stayed up in Serie A |
| Udinese | Udine | Friuli-Venezia Giulia | Friuli | Stayed up in Serie A |
