# Major Elemental Abundance in the Earth's Continental Crust (Weight %)

| Rank | Element | Symbol | Abundance (wt%) | Notes |
|---:|---|---|---:|---|
| 1 | Oxygen | O | 46.4 | Dominant anion-forming element in silicates |
| 2 | Silicon | Si | 27.5 | Main cation-forming element in silicate frameworks |
| 3 | Aluminum | Al | 8.2 | Common in feldspars and clays |
| 4 | Iron | Fe | 5.1 | Includes Fe in silicates + oxides |
| 5 | Calcium | Ca | 3.6 | Abundant in plagioclase and carbonates |
| 6 | Sodium | Na | 2.9 | Major alkali in feldspars |
| 7 | Potassium | K | 2.6 | Major alkali in K-feldspar and micas |
| 8 | Magnesium | Mg | 2.1 | More abundant in mafic components |
| 9 | Titanium | Ti | 0.44 | Concentrated in Ti-oxides and accessory minerals |
| 10 | Hydrogen | H | 0.14 | Mostly bound in hydroxyl/water in minerals |
| 11 | Phosphorus | P | 0.10 | Mostly in apatite |
| 12 | Manganese | Mn | 0.09 | Often substitutes for Fe/Mg in minerals |
