# Universal Gas Constant R — Engineering and Laboratory Unit Conversions (Row-by-Row Values)

| Unit expression for R | Numeric value |
| --- | ---: |
| N·m·mol⁻¹·K⁻¹ | 8.314462618 |
| MPa·cm³·mol⁻¹·K⁻¹ | 8.314462618 |
| kPa·m³·kmol⁻¹·K⁻¹ | 8.314462618 |
| Pa·m³·mol⁻¹·K⁻¹ | 8.314462618 |
| m³·kPa·kmol⁻¹·K⁻¹ | 8.314462618 |
| L·mmHg·mol⁻¹·K⁻¹ | 62.36367111 |
| m³·bar·mol⁻¹·K⁻¹ | 8.314462618e-5 |
| L·psi·mol⁻¹·K⁻¹ | 1.2058713 |
| ft·lbf·lbmol⁻¹·°R⁻¹ | 1545.349 |
| in³·psi·lbmol⁻¹·°R⁻¹ | 1853.350 |
