# List of The Simpsons cast members
> Awards and nominations

| Year | Actor | Award | Category | Role | Episode | Result | Ref. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1992 | Nancy Cartwright | Primetime Emmy Award | Outstanding Voice-over Performance | Bart Simpson | " Separate Vocations " | Won | [49] |
| 1992 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Homer Simpson | " Lisa's Pony " | Won | [49] |
| 1992 | Julie Kavner | Primetime Emmy Award | Outstanding Voice-over Performance | Marge Simpson | " I Married Marge " | Won | [49] |
| 1992 | Jackie Mason | Primetime Emmy Award | Outstanding Voice-over Performance | Rabbi Hyman Krustofski | " Like Father, Like Clown " | Won | [49] |
| 1992 | Yeardley Smith | Primetime Emmy Award | Outstanding Voice-over Performance | Lisa Simpson | " Lisa the Greek " | Won | [49] |
| 1992 | Marcia Wallace | Primetime Emmy Award | Outstanding Voice-over Performance | Edna Krabappel | " Bart the Lover " | Won | [49] |
| 1993 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Homer Simpson | " Mr. Plow " | Won | [50] |
| 1995 | Nancy Cartwright | Annie Award | Voice Acting in the Field of Animation | Bart Simpson | " Radio Bart " | Won | [51] |
| 1997 | Maggie Roswell | Annie Award | Best Voice Acting by a Female Performer | Shary Bobbins | " Simpsoncalifragilisticexpiala(Annoyed Grunt)cious " | Nominated | [52] |
| 1998 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Apu Nahasapeemapetilon |  | Won | [53] |
| 2001 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Various | " Worst Episode Ever " | Won | [54] |
| 2003 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Various | " Moe Baby Blues " | Won | [55] |
| 2004 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Various Characters | " Today I am A Clown " | Won | [56] |
| 2006 | Kelsey Grammer | Primetime Emmy Award | Outstanding Voice-over Performance | Sideshow Bob | " The Italian Bob " | Won | [57] |
| 2007 | Julie Kavner | Annie Award | Best Voice Acting in an Animated Feature | Marge Simpson | The Simpsons Movie | Nominated | [58] |
| 2009 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Moe Szyslak | " Eeny Teeny Maya Moe " | Nominated | [59] |
| 2009 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Homer Simpson | " Father Knows Worst " | Won | [60] |
| 2009 | Harry Shearer | Primetime Emmy Award | Outstanding Voice-over Performance | Mr. Burns, Smithers, Kent Brockman and Lenny | " The Burns and the Bees " | Nominated | [59] |
| 2010 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Moe Szyslak, Apu Nahasapeemapetilon | " Moe Letter Blues " | Nominated | [61] |
| 2010 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Homer Simpson, Grampa Simpson | " Thursday with Abie " | Nominated | [61] |
| 2011 | Dan Castellaneta | Primetime Emmy Award | Outstanding Voice-over Performance | Homer Simpson, Barney Gumble, Krusty, Louie | " Donnie Fatso " | Nominated | [62] |
| 2012 | Hank Azaria | Primetime Emmy Award | Outstanding Voice-over Performance | Moe Szyslak, Duffman, Mexican Duffman, Carl, Comic Book Guy, Chief Wiggum | " Moe Goes from Rags to Riches " | Nominated | [63] |
| 2014 | Harry Shearer | Primetime Emmy Award | Outstanding Character Voice-Over Performance | Kent Brockman, Mr. Burns, Smithers | " Four Regrettings and a Funeral " | Won | [63] |
| 2015 | Dan Castellaneta | Primetime Emmy Award | Outstanding Character Voice-Over Performance | Homer Simpson | " Bart's New Friend " | Nominated | [63] |
| 2015 | Hank Azaria | Primetime Emmy Award | Outstanding Character Voice-Over Performance | Moe Szyslak, Pedicab Driver | " The Princess Guide " | Won | [63] |
| 2015 | Tress MacNeille | Primetime Emmy Award | Outstanding Character Voice-Over Performance | Laney Fontaine, Shauna, Mrs. Muntz | " My Fare Lady " | Nominated | [63] |
