# Adobe Photoshop — Version Timeline and Platform Support

| Release family | Major version | Release year | Windows support | macOS support | Notable change |
| --- | --- | --- | --- | --- | --- |
| 7.0 | 7.0 | 2002 | Windows 98/ME/2000/XP | Mac OS 9 / OS X (early) | Healing Brush introduced |
| CS | 8.0 | 2003 | Windows 2000/XP | Mac OS X | File Browser improvements |
| CS2 | 9.0 | 2005 | Windows 2000/XP | Mac OS X (PowerPC) | Smart Objects refinements |
| CS3 | 10.0 | 2007 | Windows XP/Vista | Mac OS X (Universal Binary) | Faster performance |
| CS4 | 11.0 | 2008 | Windows XP/Vista | Mac OS X | GPU acceleration |
| CS5 | 12.0 | 2010 | Windows XP/Vista/7 | Mac OS X | Content-Aware Fill (early) |
| CS6 | 13.0 | 2012 | Windows 7/8 | macOS 10.6+ | Mercury Graphics Engine |
| CC 2015 | 16.x | 2015 | Windows 7/8/10 | macOS 10.9+ | Libraries integration |
| CC 2020 | 21.x | 2019 | Windows 10 | macOS 10.13+ | Select Subject improvements |
