# Adobe Product Families and Key Desktop Applications (Overview)

| Family / suite | Software title | Latest major line | Packaging | Notes (product-level) |
| --- | --- | --- | --- | --- |
| Creative Cloud | Dreamweaver | CC (2021) | Creative Cloud | Web authoring / legacy-focused |
| Creative Cloud | Animate | CC (2024) | Creative Cloud | 2D animation (formerly Flash Professional) |
| Creative Cloud | Character Animator | CC (2024) | Creative Cloud | Real-time character animation |
| Creative Cloud | Dimension | CC (2021) | Creative Cloud | 3D compositing (legacy) |
| Document Cloud | Acrobat Reader | 2024 | Document Cloud | Free PDF viewing & annotation |
| Document Cloud | Adobe Scan | 2024 | Mobile app (Document Cloud) | Document capture to PDF |
| Experience Cloud | Adobe Campaign | v8 | Experience Cloud | Marketing automation |
| Experience Cloud | Adobe Target | 2024 | Experience Cloud | Personalization & A/B testing |
| Experience Cloud | Adobe Analytics | 2024 | Experience Cloud | Digital analytics platform |
| Substance 3D | Substance 3D Stager | 2024 | Substance 3D | 3D scene layout & rendering |
| Substance 3D | Substance 3D Sampler | 2024 | Substance 3D | Material capture & conversion |
| Publishing Tools | FrameMaker | 2022 | Standalone (Adobe) | Structured/technical authoring |
| Developer Tools | ColdFusion | 2023 | Standalone (Adobe) | Application server / CFML runtime |
