# German Prepositions by Case with Pronoun Article Forms (Quick Writing Aid)

| Preposition | Governed Case | Example Phrase | Definite Article (Masc.) | Personal Pronoun (1st sg.) |
| --- | --- | --- | --- | --- |
| für | Accusative | für den Hund | den | mich |
| gegen | Accusative | gegen den Wind | den | mich |
| ohne | Accusative | ohne den Fehler | den | mich |
| um | Accusative | um den Block | den | mich |
| durch | Accusative | durch den Park | den | mich |
| mit | Dative | mit dem Freund | dem | mir |
| bei | Dative | bei dem Arzt | dem | mir |
| nach | Dative | nach dem Essen | dem | mir |
| von | Dative | von dem Tisch | dem | mir |
| seit | Dative | seit dem Sommer | dem | mir |
| wegen | Genitive | wegen des Wetters | des | meiner |
