# MythQuest (TV Series 2017–2021) — Full Cast & Crew (Selected)

| Department | Person | Credit | Episode count |
|---|---|---|---|
| Cast | Jordan Lee | Alex Vega (lead engineer) | 28 episodes (2017–2021) |
| Cast | Priya Nair | Dr. Mira Sato (AI ethicist) | 22 episodes (2018–2021) |
| Cast | Owen Hart | Detective Rowan Pike | 16 episodes (2017–2020) |
| Cast | Celeste Kim | Nina Cho (forensics) | 11 episodes (2019–2021) |
| Cast | Marco Alvarez | Victor Sainz (security chief) | 9 episodes (2017–2019) |
| Cast | Elaine Porter | Councilor Brenner | 5 episodes (2018–2019) |
| Cast | Samir Qureshi | "The Archivist" | 2 episodes (2020) |
| Cast | Hannah Boyd | Reporter Kelsey Tran | 1 episode (2017) |
| Crew — Writing | Dana Whitfield | Series writer | 10 episodes (2017–2019) |
| Crew — Directing | Paul Renner | Series director | 6 episodes (2018–2020) |
| Crew — Production | Lila Grant | Executive producer | 28 episodes (2017–2021) |
