# List of districts in India
> Kerala ( KL )

| Code [7] | District | Headquarters | Population (2011) [8] | Area (km²) | Density (/km²) [8] | Official website |
| --- | --- | --- | --- | --- | --- | --- |
| AL | Alappuzha | Alappuzha | 2,121,943 | 1,414 | 1,501 | http://www.alappuzha.nic.in/ |
| ER | Ernakulam | Kakkanad | 3,279,860 | 2,951 | 1,069 | http://ernakulam.nic.in/ |
| ID | Idukki | Painavu | 1,107,453 | 4,479 | 254 | http://idukki.nic.in/ |
| KN | Kannur | Kannur | 2,525,637 | 2,966 | 852 | http://kannur.nic.in/ |
| KS | Kasaragod | Kasaragod | 1,302,600 | 1,992 | 654 | http://kasargod.nic.in/ |
| KL | Kollam | Kollam | 2,629,703 | 2,498 | 1,056 | http://kollam.nic.in/ |
| KT | Kottayam | Kottayam | 1,979,384 | 2,203 | 896 | http://kottayam.nic.in/ |
| KZ | Kozhikode | Kozhikode | 3,089,543 | 2,345 | 1,318 | http://kozhikode.nic.in/ |
| MA | Malappuram | Malappuram | 4,110,956 | 3,550 | 1,058 | http://malappuram.nic.in/ |
| PL | Palakkad | Palakkad | 2,810,892 | 4,480 | 627 | http://palakkad.nic.in/ |
| PT | Pathanamthitta | Pathanamthitta | 1,195,537 | 2,462 | 453 | http://pathanamthitta.nic.in/ |
| TS | Thrissur | Thrissur | 3,110,327 | 3,032 | 1,026 | http://thrissur.nic.in/ |
| TV | Thiruvananthapuram | Thiruvananthapuram | 3,307,284 | 2,192 | 1,509 | http://www.trivandrum.gov.in// |
| WA | Wayanad | Kalpetta | 816,558 | 2,131 | 383 | http://wayanad.nic.in/ |
