# Competitive Tier List for Super Smash Bros. Ultimate (Example Snapshot)

| Fighter | Tier | Notes (strength overview) |
| --- | --- | --- |
| Steve | S | Dominant tools, strong advantage state |
| Pikachu | S | Versatile combos and edge-guarding |
| Joker | S | High ceiling, strong comeback factor |
| Palutena | A | Reliable neutral and anti-air options |
| Wolf | A | Consistent fundamentals, strong punish game |
| Roy | A | Explosive close-range pressure |
| Mario | B | Solid combos but shorter range |
| Lucina | B | Stable spacing, fewer swingy matchups |
| Captain Falcon | B | Strong burst options, can be inconsistent |
| Donkey Kong | C | Punished by zoning/combos, risky disadvantage |
| Ganondorf | C | Big damage but slow and exploitable |
| Little Mac | D | Grounded strengths, severe off-stage weakness |
