# Medically Important Venomous Snakes by U.S. State (Selected States)

| State | Venomous species (common name) | Scientific name | Venomous group |
| --- | --- | --- | --- |
| Arizona | Western diamondback rattlesnake | Crotalus atrox | Pit viper (rattlesnake) |
| Arizona | Mojave rattlesnake | Crotalus scutulatus | Pit viper (rattlesnake) |
| Arizona | Arizona coral snake | Micruroides euryxanthus | Elapid (coral snake) |
| Florida | Eastern diamondback rattlesnake | Crotalus adamanteus | Pit viper (rattlesnake) |
| Florida | Cottonmouth (Florida cottonmouth) | Agkistrodon conanti | Pit viper (moccasin) |
| Florida | Eastern coral snake | Micrurus fulvius | Elapid (coral snake) |
| Texas | Western diamondback rattlesnake | Crotalus atrox | Pit viper (rattlesnake) |
| Texas | Copperhead (southern copperhead) | Agkistrodon contortrix | Pit viper (copperhead) |
| Texas | Texas coral snake | Micrurus tener | Elapid (coral snake) |
| North Carolina | Copperhead | Agkistrodon contortrix | Pit viper (copperhead) |
| North Carolina | Cottonmouth | Agkistrodon piscivorus | Pit viper (moccasin) |
| North Carolina | Timber rattlesnake | Crotalus horridus | Pit viper (rattlesnake) |
| California | Western rattlesnake | Crotalus oreganus | Pit viper (rattlesnake) |
| California | Southern Pacific rattlesnake | Crotalus helleri | Pit viper (rattlesnake) |
| California | Sidewinder | Crotalus cerastes | Pit viper (rattlesnake) |
