# Acidity Examples Across Foods and Beverages (Includes pH, but Not Bottled Water Brands)

| Item | Type | Typical pH | Notes |
| --- | --- | --- | --- |
| Lemon juice | Food | 2.0–2.6 | Highly acidic |
| Cola soda | Beverage | 2.3–2.7 | Phosphoric acid |
| Orange juice | Beverage | 3.3–4.2 | Citric acid |
| Black coffee | Beverage | 4.8–5.2 | Naturally acidic |
| Milk | Beverage | 6.4–6.8 | Slightly acidic |
| Tap water (municipal) | Water | 6.5–8.5 | Depends on treatment |
| Blood | Biological fluid | 7.35–7.45 | Tightly regulated |
| Baking soda solution | Household | 8.2–8.4 | Mild base |
| Soap solution | Household | 9–10 | Alkaline |
| Ammonia solution | Household | 11–12 | Strong base |
