# pH Scale Reference With Beverage Examples (No Brand Measurements)

| pH Level | Classification | Example Liquids | Typical Range Description |
| --- | --- | --- | --- |
| 2.0 | Very acidic | Lemon juice | Strong acid sensation |
| 3.0 | Acidic | Cola | Common soft drink acidity |
| 4.0 | Moderately acidic | Sports drink | Often contains citric acid |
| 5.0 | Slightly acidic | Sparkling water | Carbonation lowers pH |
| 6.0 | Near-neutral | Milk | Mild acidity |
| 7.0 | Neutral | Pure water | Reference point |
| 8.0 | Slightly alkaline | Sea water | Mild alkalinity |
| 9.0 | Alkaline | Baking soda solution | Noticeably alkaline |
| 10.0 | Strongly alkaline | Milk of magnesia | High alkalinity |
