# NCAA Women's Basketball Rankings Snapshot — Top 15 with Record and Efficiency Indicators

| Rank | Team | Conference | Record | Win Streak | Last 10 | Avg Margin (PPG Diff) | Strength-of-Schedule (SOS) |
|---:|---|---|---:|---:|---:|---:|---:|
| 1 | South Carolina | SEC | 19-1 | W8 | 10-0 | +22.4 | 6 |
| 2 | Iowa | Big Ten | 18-2 | W5 | 9-1 | +15.1 | 14 |
| 3 | LSU | SEC | 17-3 | W3 | 8-2 | +18.0 | 18 |
| 4 | Stanford | Pac-12 | 16-3 | W2 | 8-2 | +16.7 | 22 |
| 5 | UCLA | Pac-12 | 15-4 | W6 | 9-1 | +14.9 | 28 |
| 6 | UConn | Big East | 16-4 | W1 | 7-3 | +19.2 | 10 |
| 7 | Notre Dame | ACC | 15-4 | L1 | 7-3 | +12.6 | 30 |
| 8 | Texas | Big 12 | 17-3 | W4 | 9-1 | +13.8 | 26 |
| 9 | Ohio State | Big Ten | 15-5 | W2 | 7-3 | +11.4 | 33 |
| 10 | Baylor | Big 12 | 14-5 | W3 | 8-2 | +10.9 | 35 |
| 11 | USC | Pac-12 | 15-4 | W1 | 8-2 | +12.0 | 25 |
| 12 | NC State | ACC | 14-5 | W2 | 7-3 | +9.7 | 40 |
| 13 | Colorado | Pac-12 | 14-6 | L1 | 6-4 | +8.8 | 44 |
| 14 | Louisville | ACC | 13-7 | W2 | 6-4 | +7.6 | 48 |
| 15 | Virginia Tech | ACC | 14-6 | W1 | 7-3 | +8.2 | 41 |
