# Young Animal Names Reference (Common Terms Across Animals)

| Animal Group | Animal | Young Name (Accepted Term(s)) |
| --- | --- | --- |
| Mammal | Bear | cub |
| Mammal | Rabbit | kit, kitten |
| Mammal | Seal | pup |
| Mammal | Elephant | calf |
| Mammal | Deer | fawn |
| Mammal | Bat | pup |
| Bird | Swan | cygnet |
| Bird | Pigeon | squab |
| Bird | Turkey | poult |
| Bird | Peacock | peachick |
| Reptile | Snake | neonate, hatchling |
| Amphibian | Toad | tadpole |
| Fish | Eel | elver |
| Crustacean | Crab | zoea, megalopa |
