# Proton Pump Inhibitors (PPIs) — Mixed Naming Without Explicit Generic Pairing

| Drug Class | Entry (may be brand or generic) | Form |
| --- | --- | --- |
| Proton pump inhibitors | omeprazole | Oral capsule |
| Proton pump inhibitors | Prilosec | Oral capsule |
| Proton pump inhibitors | esomeprazole | Oral capsule |
| Proton pump inhibitors | Nexium | Oral capsule |
| Proton pump inhibitors | pantoprazole | Oral tablet |
| Proton pump inhibitors | Protonix | Oral/IV |
| Proton pump inhibitors | lansoprazole | Oral capsule |
| Proton pump inhibitors | Prevacid | Oral capsule |
| Proton pump inhibitors | rabeprazole | Oral tablet |
| Proton pump inhibitors | AcipHex | Oral tablet |
