# Landlocked sovereign states in Europe (country list by landlocked status)

| Subregion | Country | Landlocked status (explicit) |
| --- | --- | --- |
| Central Europe | Austria | Landlocked (no coastline) |
| Central Europe | Czechia | Landlocked (no coastline) |
| Central Europe | Hungary | Landlocked (no coastline) |
| Central Europe | Slovakia | Landlocked (no coastline) |
| Central Europe | Switzerland | Landlocked (no coastline) |
| Western Europe | Luxembourg | Landlocked (no coastline) |
| Balkans / Southeast Europe | Serbia | Landlocked (no coastline) |
| Microstates | Andorra | Landlocked (between France and Spain) |
| Microstates | Liechtenstein | Landlocked (between Switzerland and Austria) |
| Eastern Europe | Belarus | Landlocked (no coastline) |
| North/Central Europe | North Macedonia | Landlocked (no coastline) |
| Balkans / Southeast Europe | Kosovo | Landlocked (no coastline) |
