# Hiroshima Mission (Operation Centerboard I) — Aircraft, Crew, and Roles

| Date | Aircraft | Primary Crew / Key Personnel | Mission Role |
| --- | --- | --- | --- |
| Aug 6, 1945 | Enola Gay | Col. Paul W. Tibbets; Capt. Robert Lewis | Bomb delivery |
| Aug 6, 1945 | The Great Artiste | Maj. Charles W. Sweeney | Instrumentation / blast measurement |
| Aug 6, 1945 | Necessary Evil | Capt. George Marquardt | Photography / observation |
| Aug 6, 1945 | Straight Flush | Maj. Claude R. Eatherly | Weather reconnaissance (Hiroshima) |
| Aug 6, 1945 | Jabit III | Maj. John A. Wilson | Weather reconnaissance (Kokura) |
| Aug 6, 1945 | Full House | Maj. Ralph R. Taylor | Weather reconnaissance (Nagasaki alt) |
| Aug 6, 1945 | Big Stink | Maj. James I. Hopkins Jr. | Observation / documentation |
| Aug 6, 1945 | Laggin' Dragon | (selected flight crew) | Spare aircraft / support |
| Aug 6, 1945 | Up An' Atom | (selected flight crew) | Support / monitoring |
