# Selected Mendelian Genetic Disorders and Their Causative Genes   Chromosomal Loci

| Disorder | Primary gene / variant type | Chromosome / locus | Typical inheritance | Notes |
| --- | --- | --- | --- | --- |
| Sickle cell disease | HBB (pathogenic variants) | 11p15.4 | Autosomal recessive | Hemoglobin beta chain disorder |
| Tay–Sachs disease | HEXA (pathogenic variants) | 15q23-q24 | Autosomal recessive | GM2 gangliosidosis, AB variant is different gene |
| Marfan syndrome | FBN1 (pathogenic variants) | 15q21.1 | Autosomal dominant | Connective tissue disorder |
| Neurofibromatosis type 1 | NF1 (pathogenic variants) | 17q11.2 | Autosomal dominant | Tumor predisposition syndrome |
| Huntington disease | HTT (CAG repeat expansion) | 4p16.3 | Autosomal dominant | Trinucleotide repeat disorder |
| Hemophilia A | F8 (pathogenic variants) | Xq28 | X-linked recessive | Coagulation factor VIII deficiency |
| Fragile X syndrome | FMR1 (CGG repeat expansion) | Xq27.3 | X-linked dominant | Most common inherited intellectual disability |
| Spinal muscular atrophy (5q-SMA) | SMN1 (biallelic deletions/variants) | 5q13.2 | Autosomal recessive | SMN2 copy number modifies severity |
| Alpha-1 antitrypsin deficiency | SERPINA1 (pathogenic variants) | 14q32.13 | Codominant | Pi*ZZ and Pi*SZ common genotypes |
| Wilson disease | ATP7B (pathogenic variants) | 13q14.3 | Autosomal recessive | Copper transport disorder |
