# Selected American Civil War Battles Involving U.S. Forces (Major Engagements)

| Engagement | Date(s) | Location (State) | Theater | Outcome |
|---|---|---|---|---|
| First Battle of Bull Run (First Manassas) | Jul 21, 1861 | Prince William & Fairfax County, Virginia | Eastern Theater | Confederate victory |
| Battle of Shiloh | Apr 6–7, 1862 | Hardin County, Tennessee | Western Theater | Union victory |
| Battle of Antietam (Sharpsburg) | Sep 17, 1862 | Washington County, Maryland | Eastern Theater | Inconclusive / strategic Union victory |
| Battle of Fredericksburg | Dec 11–15, 1862 | Fredericksburg, Virginia | Eastern Theater | Confederate victory |
| Battle of Chancellorsville | Apr 30 – May 6, 1863 | Spotsylvania County, Virginia | Eastern Theater | Confederate victory |
| Battle of Gettysburg | Jul 1–3, 1863 | Adams County, Pennsylvania | Eastern Theater | Union victory |
| Siege of Vicksburg | May 18 – Jul 4, 1863 | Warren County, Mississippi | Western Theater | Union victory |
| Battle of Chickamauga | Sep 19–20, 1863 | Catoosa & Walker County, Georgia | Western Theater | Confederate victory |
| Battle of Chattanooga | Nov 23–25, 1863 | Hamilton County, Tennessee | Western Theater | Union victory |
| Battle of Cold Harbor | May 31 – Jun 12, 1864 | Hanover County, Virginia | Eastern Theater | Confederate victory |
| Siege of Petersburg | Jun 9, 1864 – Apr 2, 1865 | Petersburg, Virginia | Eastern Theater | Union victory |
| Appomattox Campaign | Mar 29 – Apr 9, 1865 | Central Virginia | Eastern Theater | Union victory (culminates in surrender) |
