# Top Gear Test Track — Power Lap Time Adjustments Applied (Only Deductions, Not Recorded Times)

| Vehicle | Episode | Track Condition Tag | Adjustment (s) | Reason | Adjusted Time |
| --- | --- | --- | --- | --- | --- |
| Ariel Atom V8 500 | Series 16, Episode 1 | Moist (M) | -3 | Light rain during run | Not shown |
| Noble M600 | Series 14, Episode 5 | Cold (C) | -2 | Tires below optimal temp | Not shown |
| Nissan GT-R (2012) | Series 17, Episode 4 | Mildly moist (MM) | -2 | Damp patches | Not shown |
| BAC Mono | Series 20, Episode 2 | Hot (H) | -2 | High temperature | Not shown |
| Pagani Huayra | Series 19, Episode 1 | Dry | 0 | Baseline | Not shown |
| McLaren 675LT | Series 23, Episode 2 | Dry | 0 | Baseline | Not shown |
| Gumpert Apollo | Series 11, Episode 6 | Dry | 0 | Baseline | Not shown |
| Ascari A10 | Series 13, Episode 2 | Dry | 0 | Baseline | Not shown |
| Koenigsegg CCX (with wing) | Series 8, Episode 4 | Cold (C) | -2 | Cool surface | Not shown |
| Bugatti Veyron Super Sport | Special | Hot (H) | -2 | Heat soak | Not shown |
