# List of Dragon Ball Z episodes
> Episode list

| Ep# | Initial dub ep# | Translated title / Funimation's dub title Japanese title | Japanese airdate | English airdate |
| --- | --- | --- | --- | --- |
| 75 | 61 | "Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password!" / "Password is Porunga" "Nanatsu no Tama o Soroeshi Mono yo... Sā Aikotoba o Ie!" (七ッの玉を揃えし者よ…さあ合言葉を言え！) | January 23, 1991 | September 21, 1999 |
| 76 | 62 | "Kami- sama Also Returns to Life! Piccolo is Resurrected by Super Shen Long" / "Piccolo's Return" "Kamisama mo Ikikaetta! Sūpā Shen Long de Pikkoro ga Fukkatsu" (神様も生き返った！超神龍でピッコロが復活) | January 30, 1991 | September 22, 1999 |
| 77 | 63 | "Birth of the Mightiest Warrior!? Nail and Piccolo Merge" / "The Fusion" "Saikyō Senshi no Tanjō ka!? Neiru to Pikkoro ga Gattai" (最強戦士の誕生か!?ネイルとピッコロが合体) | February 6, 1991 | September 23, 1999 |
| 78 | 64 | "A Nightmare Super-Transformation!! Frieza's Battle Power of One Million" / "Fighting Power: One Million?" "Akumu no Chōhenshin!! Sentōryoku Hyakuman no Furīza" (悪夢の超変身!!戦闘力100万のフリーザ) | February 13, 1991 | September 24, 1999 |
| 79 | 65a | "Is This the End!? A Brutally Transcendent Power Attacks Gohan" / "Gohan Attacks" "Koko made ka!? Kyōaku Chōzetsu Pawā ga Gohan o Osō" (ここまでか!?凶悪超絶パワーが悟飯を襲う) | February 20, 1991 | September 27, 1999 |
| 80 | 65b | "The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late" / "Piccolo the Super-Namek" "Ikki ni Keisei Gyakuten!! Okurete Kita Senshi - Pikkoro" (一気に形勢逆転!!遅れてきた戦士・ピッコロ) | February 27, 1991 | September 27, 1999 |
| 81 | 66 | "Piccolo's Self-Confidence! I Will Be the One to Defeat Freeza" / "Deja Vu" "Pikkoro no Jishin! Furīza o Taosu no wa Ore da" (ピッコロの自信！フリーザを倒すのはオレだ) | March 6, 1991 | September 28, 1999 |
| 82 | 67 | "Attack, Goku!! An Enraged Freeza's Second Transformation" / "Frieza's Second Transformation" "Shutsugeki da Gokū!! Gekido no Furīza ga Daini no Henshin" (出撃だ悟空!!激怒のフリーザが第2の変身) | March 13, 1991 | September 29, 1999 |
| 83 | 68 | "Fear Me!! Freeza Does Battle with a Third Transformation" / "Another Transformation?" "Kyōfu Shiro!! Furīza wa Sando no Henshin de Shōbu Suru" (恐怖しろ!!フリーザは3度の変身で勝負する) | March 20, 1991 | September 30, 1999 |
| 84 | 69 | "The Death of Dende... Come Forth! Intense, Wide-Open Power" / "Dende's Demise" "Dende no Shi... Dete Koi! Tobikiri Zenkai Pawā" (デンデの死…でてこい！とびきり全開パワー) | March 27, 1991 | October 1, 1999 |
| 85 | 70 | "How I've Waited for this Moment!!! Son Goku Revived" / "The Renewed Goku" "Machi ni Matta ze, Kono Shunkan!!! Son Gokū ga Fukkatsu da" (待ちに待ったぜ、この瞬間!!!孫悟空が復活だ) | April 3, 1991 | October 4, 1999 |
