# Old & New Testament Given Names  Meaning and Origin Quick Reference

| Name | Gender | Meaning | Origin | Testament/Tradition |
| --- | --- | --- | --- | --- |
| Adam | Boy | Man; earth | Hebrew | Old Testament |
| Eve | Girl | Life | Hebrew | Old Testament |
| Noah | Boy | Rest; comfort | Hebrew | Old Testament |
| Sarah | Girl | Princess | Hebrew | Old Testament |
| Rebekah | Girl | To bind; to tie | Hebrew | Old Testament |
| Leah | Girl | Weary; delicate | Hebrew | Old Testament |
| Jonah | Boy | Dove | Hebrew | Old Testament |
| Martha | Girl | Lady; mistress | Aramaic | New Testament |
| Mary | Girl | Beloved; wished-for child (traditional) | Hebrew | New Testament |
| Joseph | Boy | He will add | Hebrew | Old & New Testament |
| Peter | Boy | Rock; stone | Greek | New Testament |
| Paul | Boy | Small; humble | Latin | New Testament |
