# Busiest London Stations — Operator and Governance Snapshot (No passenger totals)

| Station | Managed by | Station category | Borough | Travelcard zone | Ownership / oversight |
| --- | --- | --- | --- | --- | --- |
| Waterloo | Network Rail | National Rail terminus | Lambeth | 1 | DfT / NR |
| Victoria | Network Rail | National Rail terminus | Westminster | 1 | DfT / NR |
| Liverpool Street | Network Rail | National Rail terminus | City of London | 1 | DfT / NR |
| London Bridge | Network Rail | National Rail interchange | Southwark | 1 | DfT / NR |
| King's Cross | Network Rail | National Rail terminus | Camden | 1 | DfT / NR |
| Paddington | Network Rail | National Rail terminus | Westminster | 1 | DfT / NR |
| Euston | Network Rail | National Rail terminus | Camden | 1 | DfT / NR |
| Stratford | Network Rail | Interchange (rail + metro) | Newham | 2-3 | DfT / NR |
| Finsbury Park | Govia Thameslink Railway | Interchange | Islington | 2 | DfT / TOC |
| Clapham Junction | Network Rail | Interchange | Wandsworth | 2 | DfT / NR |
