# Major U.S. Cable and Satellite Pay-TV Providers (Company-Level Overview)

| Provider | Pay-TV Delivery Type | Primary Footprint (U.S.) | States/Areas Served (Approx.) | Notes |
| --- | --- | --- | --- | --- |
| Comcast (Xfinity) | Cable (HFC) / IPTV in select areas | National (multi-region) | 30+ states | Large cable operator; often bundles TV + internet + voice |
| Charter Communications (Spectrum) | Cable (HFC) | National (multi-region) | 40+ states | Formed from multiple systems; widely available in metro and suburban markets |
| Cox Communications | Cable (HFC) | Regional (Sun Belt / Midwest) | 15+ states | Strong presence in select major metro areas |
| Altice USA (Optimum) | Cable (HFC) / Fiber in select markets | Regional (Northeast) | 4+ states | Optimum brand concentrated in NY/NJ/CT and nearby areas |
| Altice USA (Suddenlink) | Cable (HFC) | Regional (South/Central) | 15+ states | Suddenlink footprint primarily in smaller cities/towns |
| Verizon FiOS | Fiber IPTV | Regional (Mid-Atlantic/Northeast) | 8+ states + DC | Fiber-to-the-home where available; not nationwide |
| DirecTV | Satellite / Streaming hybrid | Nationwide | 50 states | Satellite legacy; also offers internet-delivered options in some markets |
| DISH Network | Satellite | Nationwide | 50 states | Satellite provider with broad rural availability |
| Frontier (TV via partners/limited markets) | IPTV / OTT partnerships | Regional | Multi-state (limited TV) | TV availability varies by market; often not offered everywhere Frontier has internet |
| Mediacom | Cable (HFC) | Regional (Midwest/South) | 20+ states | Concentrated in smaller and mid-sized communities |
