# Seattle, WA Monthly Temperature Extremes and Heating Cooling Degree Days

| Month | Low (°F) | High (°F) | Heating Degree Days | Cooling Degree Days |
| --- | ---: | ---: | ---: | ---: |
| Jan | 37 | 47 | 726 | 0 |
| Feb | 38 | 50 | 620 | 0 |
| Mar | 40 | 53 | 540 | 0 |
| Apr | 43 | 58 | 390 | 0 |
| May | 48 | 64 | 260 | 5 |
| Jun | 53 | 69 | 150 | 22 |
| Jul | 57 | 75 | 60 | 65 |
| Aug | 58 | 76 | 45 | 72 |
| Sep | 54 | 71 | 110 | 25 |
| Oct | 48 | 60 | 320 | 1 |
| Nov | 42 | 52 | 520 | 0 |
| Dec | 38 | 47 | 690 | 0 |
