# 2007 in video gaming
> Hardware and software sales

| Place | PlayStation Portable | Wii | Xbox 360 |
| --- | --- | --- | --- |
| 1 | Grand Theft Auto: Vice City Stories ( Rockstar Games ) | Wii Play ( Nintendo ) | Halo 3 ( Microsoft ) |
| 2 | FIFA 08 ( Electronic Arts ) | Mario & Sonic at the Olympic Games ( Sega ) | Call of Duty 4: Modern Warfare ( Activision ) |
| 3 | Sega Mega Drive Collection ( Sega ) | Big Brain Academy: Wii Degree (Nintendo) | Assassin's Creed ( Ubisoft ) |
| 4 | Pro Evolution Soccer 6 ( Konami ) | Super Mario Galaxy (Nintendo) | Forza Motorsport 2 (Microsoft) |
| 5 | Grand Theft Auto: Liberty City Stories (Rockstar Games) | Mario Party 8 (Nintendo) | FIFA 08 ( Electronic Arts ) |
| 6 | Sonic Rivals (Sega) | WarioWare: Smooth Moves (Nintendo) | Pro Evolution Soccer 2008 ( Konami ) |
| 7 | The Simpsons Game (Electronic Arts) | The Legend of Zelda: Twilight Princess (Nintendo) | Crackdown (Microsoft) |
| 8 | FIFA 07 (Electronic Arts) | Mario Strikers Charged Football (Nintendo) | Gears of War (Microsoft) |
| 9 | Midnight Club 3: DUB Edition (Rockstar Games) | Sonic and the Secret Rings (Sega) | Lost Planet: Extreme Condition ( Capcom ) |
| 10 | Need for Speed: Carbon (Electronic Arts) | Resident Evil 4 ( Capcom ) | BioShock ( 2K Games ) |
