# Presiding roles in early U.S. governance (mixed offices and bodies)

| Person | Associated state | Office/body | Position type | Years |
|---|---|---|---|---|
| Peyton Randolph | Virginia | Continental Congress | President | 1774 |
| Henry Middleton | South Carolina | Continental Congress | President | 1774 |
| John Hancock | Massachusetts | Continental Congress | President | 1775–1777 |
| Thomas McKean | Delaware | Continental Congress | President | 1781 |
| John Hanson | Maryland | Continental Congress | President | 1781–1782 |
| John Jay | New York | Continental Congress | President | 1778–1779 |
| John Jay | New York | United States (Articles) | Secretary for Foreign Affairs | 1784–1789 |
| Robert Morris | Pennsylvania | United States (Articles) | Superintendent of Finance | 1781–1784 |
| Arthur St. Clair | Pennsylvania | Northwest Territory | Governor | 1788–1802 |
| John Rutledge | South Carolina | South Carolina | Governor | 1779–1782 |
