# India  States and Union Territories with Capitals (Administrative, Legislative, Judicial)

| Region Type | State/Union Territory | Administrative Capital | Legislative Capital | Judicial Capital |
|---|---|---|---|---|
| Union Territory | Andaman and Nicobar Islands | Port Blair | — | — |
| State | Andhra Pradesh | Amaravati | Amaravati | Amaravati |
| State | Arunachal Pradesh | Itanagar | Itanagar | Itanagar |
| State | Assam | Dispur | Dispur | Guwahati |
| Union Territory | Chandigarh | Chandigarh | — | — |
| State | Himachal Pradesh | Shimla | Shimla | Shimla |
| Union Territory | Jammu and Kashmir | Srinagar (summer), Jammu (winter) | Srinagar/Jammu | Srinagar/Jammu |
| State | Maharashtra | Mumbai | Mumbai | Mumbai |
| Union Territory | Puducherry | Puducherry | Puducherry | Puducherry |
| State | Tamil Nadu | Chennai | Chennai | Chennai |
| Union Territory | Delhi (NCT) | New Delhi | New Delhi | New Delhi |
