# Metric Tap Drill Size Chart (ISO Metric Threads, Recommended Tap Drill in mm)

| Metric thread designation | Pitch (mm) | Recommended tap drill (mm) | Typical application note |
|---|---:|---:|---|
| M3 × 0.5 | 0.50 | 2.5 | Common small fasteners |
| M4 × 0.7 | 0.70 | 3.3 | General purpose coarse |
| M5 × 0.8 | 0.80 | 4.2 | Standard coarse |
| M6 × 1.0 | 1.00 | 5.0 | Standard coarse |
| M8 × 1.25 | 1.25 | 6.8 | Standard coarse |
| M10 × 1.5 | 1.50 | 8.5 | Standard coarse |
| M12 × 1.75 | 1.75 | 10.2 | Standard coarse |
| M14 × 2.0 | 2.00 | 12.0 | Standard coarse |
| M16 × 2.0 | 2.00 | 14.0 | Standard coarse |
| M18 × 2.5 | 2.50 | 15.5 | Coarse for larger bolts |
| M20 × 2.5 | 2.50 | 17.5 | Common structural sizes |
