# Venomous Snakes of Arizona (U.S. State) — Common and Scientific Names

| Scientific name | Common name | State (listed under) | Venom type |
| --- | --- | --- | --- |
| Crotalus atrox | Western diamondback rattlesnake | Arizona | Hemotoxic |
| Crotalus scutulatus | Mojave rattlesnake | Arizona | Neurotoxic/hemotoxic |
| Crotalus adamanteus | Eastern diamondback rattlesnake | Arizona | Hemotoxic |
| Crotalus cerastes | Sidewinder | Arizona | Hemotoxic |
| Crotalus tigris | Tiger rattlesnake | Arizona | Neurotoxic/hemotoxic |
| Crotalus molossus | Black-tailed rattlesnake | Arizona | Hemotoxic |
| Crotalus mitchellii | Speckled rattlesnake | Arizona | Hemotoxic |
| Crotalus pricei | Twin-spotted rattlesnake | Arizona | Hemotoxic |
| Micruroides euryxanthus | Arizona coral snake | Arizona | Neurotoxic |
