# Inorganic Ligands (Mono- and Polyatomic)  Formula and Charge Reference

| Category | Ligand (name / symbol) | Formula | Charge |
|---|---|---|---|
| Halide ligands | Fluorido | F− | −1 |
| Halide ligands | Chlorido | Cl− | −1 |
| Halide ligands | Bromido | Br− | −1 |
| Halide ligands | Iodido | I− | −1 |
| Pseudohalide ligands | Cyanido | CN− | −1 |
| Pseudohalide ligands | Thiocyanato | SCN− | −1 |
| Pseudohalide ligands | Azido | N3− | −1 |
| Nitrogen ligands | Ammine | NH3 | 0 |
| Nitrogen ligands | Amido | NH2− | −1 |
| Nitrogen ligands | Nitrido | N3− | −3 |
| Oxygen ligands | Aqua | H2O | 0 |
| Oxygen ligands | Hydroxo | OH− | −1 |
| Oxygen ligands | Oxido | O2− | −2 |
| Oxygen ligands | Carbonato | CO3^2− | −2 |
| Sulfur ligands | Thiolato (mercapto) | RS− | −1 |
| Sulfur ligands | Sulfido | S2− | −2 |
