# LGBT Screen Characters Index (Gender Identity Column Present but Mostly Orientation)

| Character | Screen Title | Gender Identity | Sexual Orientation | Media |
| --- | --- | --- | --- | --- |
| Max Sweeney | The L Word: Generation Q | Cis woman | Lesbian | TV series |
| David Fisher | Six Feet Under | Cis man | Gay | TV series |
| Korra | The Legend of Korra | Cis woman | Bisexual | TV series |
| Ellie Chu | The Half of It | Cis woman | Lesbian | Film |
| Nick Nelson | Heartstopper | Cis man | Bisexual | TV series |
| Eric Effiong | Sex Education | Cis man | Gay | TV series |
| Barney Guttman | Dead End: Paranormal Park | Trans man | Gay | TV series |
| Theo Putnam | Chilling Adventures of Sabrina | Trans boy | Straight | TV series |
| Chaz Bono (as self) | Dancing with the Stars | Trans man | Straight | TV series |
