# Glycemic Index (GI) of Common Foods — Ranked List (No Glycemic Load)

| Rank | Food item | Glycemic index (glucose=100) | Notes |
|---:|---|---:|---|
| 1 | Glucose drink | 100 | Reference value |
| 2 | White bread | 75 | Typical commercial loaf |
| 3 | Corn flakes | 81 | Ready-to-eat cereal |
| 4 | Jasmine rice, cooked | 80 | Average preparation |
| 5 | Banana, ripe | 62 | Ripeness affects GI |
| 6 | Apple | 38 | Whole fruit |
| 7 | Lentils, cooked | 32 | Legume |
| 8 | Peanuts | 14 | Very low GI |
| 9 | Yogurt, plain | 35 | Unsweetened |
| 10 | Carrots, boiled | 47 | Cooked vegetable |
