# Indian States and Union Territories  Capital and Key Officeholders

| State/Union Territory | Capital | Chief Minister / Administrator | Party/Notes |
| --- | --- | --- | --- |
| Andhra Pradesh | Amaravati (proposed), Hyderabad | Chief Minister | Coalition |
| Arunachal Pradesh | Itanagar | Chief Minister | Regional |
| Assam | Dispur | Chief Minister | BJP |
| Bihar | Patna | Chief Minister | JD(U) |
| Delhi (NCT) | New Delhi / Delhi | Chief Minister | AAP |
| Puducherry | Puducherry (Pondicherry) | Chief Minister | NDA |
| Jammu and Kashmir (UT) | Srinagar & Jammu | Lieutenant Governor | Dual capitals |
| Ladakh (UT) | Leh | Lieutenant Governor | UT |
| Maharashtra | Mumbai (also Nagpur for winter session) | Chief Minister | BJP-led |
