# Big Ten Conference
> Men 's basketball

| School | Men's NCAA Championships | Men's NCAA Final Fours | Men's NCAA Elite Eights | Men's NCAA Sweet Sixteens | Men's NCAA Tournament Appearances |
| --- | --- | --- | --- | --- | --- |
| Illinois |  | 5 (1949, 1951–52, 1989, 2005) | 9 (1942, 1949, 1951–52, 1963, 1984, 1989, 2001, 2005) | 11 (1951–52, 1963, 1981, 1984–85, 1989, 2001–02, 2004–05) | 30 (1942, 1949, 1951–52, 1963, 1981, 1983–90, 1993–95, 1997–98, 2000–09, 2011, 2013) |
| Indiana | 5 (1940, 1953, 1976, 1981, 1987) | 8 (1940, 1953, 1973, 1976, 1981, 1987, 1992, 2002) | 11 (1940, 1953, 1973, 1975, 1976, 1981, 1984, 1987, 1992, 1993, 2002) | 22 (1953–54, 1958, 1967, 1973, 1975–76, 1978, 1980–81, 1983–84, 1987, 1989, 1991–94, 2002, 2012–13, 2016) | 39 (1940, 1953–54, 1958, 1967, 1973, 1975–76, 1978, 1980–84, 1986–2003, 2006–08, 2012–13, 2015–16) |
| Iowa |  | 3 (1955–56, 1980) | 4 (1955–56, 1980, 1987) | 8 (1955–56, 1970, 1980, 1983, 1987–88, 1999) | 25 (1955–56, 1970, 1979–83, 1985–89, 1991–93, 1996–97, 1999, 2001, 2005, 2006, 2014–16) |
| Maryland | 1 ( 2002 ) | 2 ( 2001, 2002 ) | 5 ( 1958, 1973, 1975, 2001, 2002 ) | 14 ( 1958, 1973, 1975, 1980, 1984–85, 1994–95, 1998–99, 2001–03 , 2016) | 25 ( 1958, 1973, 1975, 1980–81, 1983–86, 1994–2004, 2007, 2009, 2010 , 2015–16) |
| Michigan | 1 (1989) | 5 (1964–65, 1976, 1989, 2013) | 12 (1948, 1964, 1965, 1966, 1974, 1976, 1977, 1989, 1992, 1994, 2013, 2014) | 12 (1964, 1965, 1966, 1974, 1976, 1977, 1988, 1989, 1992, 1994, 2013, 2014) | 22 (1948, 1964–66, 1974–77, 1985–90, 1994–95, 2009, 2011–14, 2016) |
| Michigan State | 2 (1979, 2000) | 9 (1957, 1979, 1999–01, 2005, 2009–10, 2015) | 13 (1957, 1959, 1978–79, 1999–01, 2003, 2005, 2009–10, 2014–15) | 19 (1957, 1959, 1978–79, 1986, 1990, 1998–2001, 2003, 2005, 2008–10, 2012–15) | 30 (1957, 1959, 1978–79, 1985–86, 1990–92, 1994–95, 1998–2016) |
| Minnesota |  |  | 1 (1990) | 3 (1982, 1989, 1990) | 8 (1972, 1982, 1989, 1990, 2005, 2009, 2010, 2013) |
| Nebraska |  |  |  |  | 7 ( 1986, 1991, 1992, 1993, 1994, 1998 , 2014) |
| Northwestern |  |  |  |  | 0 |
| Ohio State | 1 (1960) | 10 (1939, 1944–46, 1960, 1961–62, 1968, 2007, 2012) | 14 (1939, 1944–46, 1950, 1960–62, 1968, 1971, 1992, 2007, 2012–13) | 14 (1960–62, 1968, 1971, 1980, 1983, 1991–92, 2007, 2010–13) | 27 (1939, 1944–46, 1950, 1960–62, 1968, 1971, 1980, 1982–83, 1985, 1987, 1990–92, 2006–07, 2009–15) |
| Penn State |  | 1 ( 1954 ) | 2 ( 1942, 1954 ) | 4 ( 1952, 1954–55 , 2001) | 9 ( 1942, 1952, 1954–55, 1965, 1991 , 1996, 2001, 2011) |
| Purdue |  | 2 (1969, 1980) | 4 (1969, 1980, 1994, 2000) | 9 (1969, 1980, 1988, 1994, 1998–99, 2000, 2009–10) | 27 (1969, 1977, 1980, 1983–88, 1990–91, 1993–95, 1997–2000, 2003, 2007–12, 2015–16) |
| Rutgers |  | 1 ( 1976 ) | 1 ( 1976 ) | 2 ( 1976, 1979 ) | 6 ( 1975–76, 1979, 1983, 1989, 1991 ) |
| Wisconsin | 1 (1941) | 4 (1941, 2000, 2014, 2015) | 6 (1941, 1947, 2000, 2005, 2014, 2015) | 9 (2000, 2003, 2005, 2008, 2011, 2012, 2014, 2015, 2016) | 22 (1941, 1947, 1994, 1997, 1999–2016) |
