# Richmond , Virginia
> Demographics

|  | City of Richmond only | Richmond MSA | Rate per 100,000 inhabitants |
| --- | --- | --- |
| Violent crime | 1,327 | 3,029 | 243.8 |
| Murder and non-negligent manslaughter | 37 | 77 | 6.2 |
| Rape | 43 | 249 | 20.0 |
| Robbery | 624 | 1,128 | 90.8 |
| Aggravated assault | 623 | 1,575 | 126.8 |
| Property crime | 8,704 | 29,761 | 2,395.7 |
| Burglary | 1,817 | 5,533 | 445.4 |
| Larceny/Theft | 5,949 | 22,329 | 1,797.4 |
| Motor vehicle theft | 938 | 1,899 | 152.9 |
