# U.S. Army Enlisted Ranks and Pay Grades (E-1 to E-9)

| Category | Pay Grade | Rank title | Common abbreviation |
| --- | --- | --- | --- |
| Junior enlisted | E-1 | Private | PV1 |
| Junior enlisted | E-2 | Private (Second Class) | PV2 |
| Junior enlisted | E-3 | Private First Class | PFC |
| NCO | E-4 | Corporal | CPL |
| NCO | E-4 | Specialist | SPC |
| NCO | E-5 | Sergeant | SGT |
| NCO | E-6 | Staff Sergeant | SSG |
| Senior NCO | E-7 | Sergeant First Class | SFC |
| Senior NCO | E-8 | Master Sergeant | MSG |
| Senior NCO | E-8 | First Sergeant | 1SG |
| Senior NCO | E-9 | Sergeant Major | SGM |
| Senior NCO | E-9 | Command Sergeant Major | CSM |
| Senior NCO | E-9 | Sergeant Major of the Army | SMA |
