# Where Capital Gains Taxes Are Highest — Scorecard and Tiering (U.S. States)

| Tier | Score (0–100) | State | Overall Capital Gains Tax Climate | Primary Driver |
|---|---:|---|---|---|
| Very High | 92 | California | Worst | High top income tax rate |
| Very High | 90 | New York | Worst | High state + local burden |
| Very High | 88 | New Jersey | Worst | High marginal rates |
| High | 80 | Oregon | Poor | Ordinary-income treatment |
| High | 78 | Minnesota | Poor | High progressive brackets |
| High | 76 | Hawaii | Poor | High top bracket |
| Medium | 55 | Georgia | Average | Moderate flat-ish structure |
| Low | 25 | Florida | Best | No state income tax |
| Low | 22 | Texas | Best | No state income tax |
| Low | 20 | Nevada | Best | No state income tax |
