# Deer-Resistant Landscape Plants (Comparison by Growth Form and Browse Tolerance)

| Common Name | Latin Name | Plant Type | Deer Resistance Level | Notes (why deer avoid / caveats) |
| --- | --- | --- | --- | --- |
| Lavender | Lavandula angustifolia | Perennial (Herb) | High | Fragrant oils; may be sampled when very hungry |
| Russian Sage | Salvia yangii (Perovskia atriplicifolia) | Perennial | High | Aromatic foliage; tough texture |
| Daffodil | Narcissus spp. | Bulb | Very High | Toxic alkaloids; typically ignored |
| Boxwood | Buxus sempervirens | Shrub | High | Bitter foliage; browsing can occur in severe winters |
| Spirea | Spiraea japonica | Shrub | Medium | Often left alone but tender new growth can be nipped |
| Yarrow | Achillea millefolium | Perennial | High | Strong scent; drought-tolerant |
| Bee Balm | Monarda didyma | Perennial | Medium | Aromatic but flowers/leaves can be browsed |
| Catmint | Nepeta × faassenii | Perennial (Groundcover) | High | Aromatic foliage; generally avoided |
| Japanese Pachysandra | Pachysandra terminalis | Groundcover | Medium-High | Usually avoided; can be browsed under pressure |
| Eastern Red Cedar | Juniperus virginiana | Tree | High | Resinous needles; typically low palatability |
