# Cross-Cultural Baby Names  Origin and Meaning Side-by-Side

| Name | Gender | Meaning | Origin |
|---|---|---|---|
| Aria | Girl | "Air" / "song" (name meaning differs by culture) | Italian / Persian |
| Kenji | Boy | "Strong/healthy second son" (common interpretation) | Japanese |
| Imani | Girl | "Faith" | Swahili |
| Anaya | Girl | "Caring" / "compassion" (varies by tradition) | Sanskrit (Indian) |
| Luca | Boy | "Bringer of light" | Italian (from Latin) |
| Zain | Boy | "Beauty" / "grace" | Arabic |
| Esme | Girl | "Esteemed" / "beloved" | French |
| Bodhi | Boy | "Awakening" / "enlightenment" | Sanskrit |
| Saoirse | Girl | "Freedom" | Irish (Gaelic) |
| Dalia | Girl | "Gentle" / also a flower name in some contexts | Lithuanian / Arabic |
