# Paris Agreement (UNFCCC) — Participation Status and National Climate Policy Snapshot

| Country | Participation status | Date (signature/ratification) | NDC target (summary) | Main mitigation sectors | Notes |
|---|---|---|---|---|---|
| Canada | Party | Ratified: 2016-10-05 | 40–45% below 2005 by 2030 | Power, transport, industry | Federal carbon pricing framework |
| United States | Party (re-joined) | Re-joined: 2021-02-19 | 50–52% below 2005 by 2030 | Economy-wide | Domestic implementation via executive actions |
| China | Party | Ratified: 2016-09-03 | Peak CO₂ before 2030; carbon neutrality 2060 | Power, industry | National ETS rollout |
| India | Party | Ratified: 2016-10-02 | Reduce emissions intensity 45% by 2030 | Power, industry | Large renewable buildout |
| Brazil | Party | Ratified: 2016-09-21 | 50% below 2005 by 2030 | Land use, energy | Amazon enforcement emphasized |
| South Africa | Party | Ratified: 2016-11-01 | 398–510 MtCO₂e range (2030) | Power | Just transition financing |
| Australia | Party | Ratified: 2016-11-10 | 43% below 2005 by 2030 | Power, transport | Safeguard mechanism reforms |
| Russia | Party | Ratified: 2019-10-21 | 70–75% of 1990 by 2030 | Energy | Baseline affected by 1990 levels |
| Saudi Arabia | Party | Ratified: 2016-11-03 | Avoid/Reduce/Remove approach | Oil & gas | Economic diversification programs |
| Turkey | Party | Ratified: 2021-10-06 | 41% reduction from BAU by 2030 | Power | Green finance strategy |
