# Dallas Cowboys 2016 Salary Cap Table (Selected Players)

| Player | Position | Contract Tier | Base Salary (USD) |
| --- | --- | --- | ---: |
| Tony Romo | QB | Veteran starter | 9,000,000 |
| Dez Bryant | WR | Veteran starter | 12,500,000 |
| Tyron Smith | LT | Veteran starter | 8,500,000 |
| Zack Martin | RG | Rookie deal | 1,900,000 |
| Travis Frederick | C | Rookie deal | 1,800,000 |
| Sean Lee | LB | Veteran starter | 7,000,000 |
| Brandon Carr | CB | Veteran starter | 9,500,000 |
| Orlando Scandrick | CB | Veteran starter | 5,500,000 |
| Jason Witten | TE | Veteran starter | 5,000,000 |
| Dan Bailey | K | Specialist | 2,750,000 |
