# Irish general election , 1918
> Prominent candidates

| Name | Party | Constituency |
| --- | --- | --- |
| Hugh O'Neill | Irish Unionist Alliance | Antrim Mid |
| Patrick Donnelly | Irish Parliamentary Party | Armagh South |
| Edward Carson | Irish Unionist Alliance | Belfast Duncairn |
| Joseph Devlin | Irish Parliamentary Party | Belfast Falls |
| Samuel McGuffin | Labour Unionist | Belfast Shankill |
| Edward Kelly | Irish Parliamentary Party | Donegal East |
| James Craig | Irish Unionist Alliance | Down Mid |
| Jeremiah McVeagh | Irish Parliamentary Party | Down South |
| Seán T. O'Kelly | Sinn Féin | Dublin College Green |
| Desmond FitzGerald | Sinn Féin | Dublin Pembroke |
| Maurice Dockrell | Irish Unionist Alliance | Dublin Rathmines |
| Joseph McGrath | Sinn Féin | Dublin St James's |
| Constance Markievicz | Sinn Féin | Dublin St Patrick's |
| Robert Henry Woods | Independent Unionist | University of Dublin |
| Pádraic Ó Máille | Sinn Féin | Galway Connemara |
| Frank Fahy | Sinn Féin | Galway South |
| Domhnall Ua Buachalla | Sinn Féin | Kildare North |
| Eoin MacNeill | Sinn Féin | Londonderry City and also National University of Ireland |
| Hugh Anderson | Irish Unionist Alliance | Londonderry North |
| Denis Henry | Irish Unionist Alliance | Londonderry South |
| John J. O'Kelly | Sinn Féin | Louth |
| Ernest Blythe | Sinn Féin | Monaghan North |
| Seán MacEntee | Sinn Féin | Monaghan South |
| Kevin O'Higgins | Sinn Féin | Queen's County [11] |
| Harry Boland | Sinn Féin | Roscommon South |
| Thomas Harbison | Irish Parliamentary Party | Tyrone North East |
| William Redmond | Irish Parliamentary Party | Waterford City |
| Cathal Brugha | Sinn Féin | Waterford County |
| Laurence Ginnell | Sinn Féin | Westmeath |
| James Ryan | Sinn Féin | Wexford South |
| Robert Barton | Sinn Féin | Wicklow West |
