# State-wise Media Coverage and Capital City (Press & Broadcast Snapshot)

| State/Union Territory | Capital City | Major Newspapers | Leading TV/Radio Networks | Media Reach (approx.) |
| --- | --- | --- | --- | --- |
| Delhi (NCT) | New Delhi | The Hindu, HT, TOI | DD News, NDTV | Very High |
| Maharashtra | Mumbai | Loksatta, Indian Express | Zee 24 Taas | High |
| Tamil Nadu | Chennai | Dinamalar, The Hindu | Sun News | High |
| Karnataka | Bengaluru | Prajavani | TV9 Kannada | High |
| Telangana | Hyderabad | Eenadu | TV9 Telugu | Medium-High |
| Kerala | Thiruvananthapuram | Malayala Manorama | Asianet News | High |
| Gujarat | Gandhinagar | Gujarat Samachar | Sandesh News | Medium |
| Assam | Dispur | Assam Tribune | Prag News | Medium |
| Bihar | Patna | Hindustan | Zee Bihar Jharkhand | Medium |
