# Key Pacific War Milestones Leading Up to Hiroshima (Selected Events)

| Date | Event | Notes |
|---|---|---|
| Dec 7, 1941 | Attack on Pearl Harbor | Triggers expanded US entry into the Pacific War |
| Jun 4–7, 1942 | Battle of Midway | Major shift in naval balance in the Pacific |
| Nov 20, 1943 | Battle of Tarawa begins | Part of island-hopping campaign |
| Jun 15, 1944 | Battle of Saipan begins | Brings Japan within range of B-29 operations |
| Oct 20, 1944 | US landings on Leyte | Accelerates pressure on Japanese forces |
| Feb 19, 1945 | Battle of Iwo Jima begins | Secures airfields for escort/emergency landings |
| Apr 1, 1945 | Battle of Okinawa begins | Heavy casualties influence endgame calculations |
| Jul 26, 1945 | Potsdam Declaration issued | Ultimatum calling for Japan’s surrender |
| Aug 6, 1945 | Atomic bomb dropped on Hiroshima | Culminating event in this sequence |
