# The Detour (TV Series 2016– ) - Full Cast & Crew (Mixed  Cast + Crew)

| Name | Credit type | Character / Job | Episode count |
| --- | --- | --- | --- |
| Jason Jones | Cast | Nate Parker | 10 episodes |
| Natalie Zea | Cast | Robin Parker | 10 episodes |
| Ashley Gerasimovich | Cast | Delilah Parker | 10 episodes |
| Liam Carroll | Cast | Jared Parker | 10 episodes |
| Mary Grill | Cast | Federal Agent | 10 episodes |
| Beth McCarthy-Miller | Crew | Director | 1 episode |
| Samantha Bee | Crew | Writer | 10 episodes |
| Jeanne McCarthy | Crew | Casting director | series |
| Tim Suhrstedt | Crew | Cinematography | 5 episodes |
