# SkyBridge Airways — Fleet by Tail Number (Selected Aircraft)

| Tail Number | Aircraft Model | Year Delivered to Airline | Status | Notes |
| --- | --- | --- | --- | --- |
| N102SB | Airbus A320-200 | 2012 | Active | Formerly with a European lessor |
| N118SB | Airbus A320-200 | 2013 | Active | Sharklets retrofit in 2018 |
| N205SB | Boeing 737-800 | 2015 | Active | Wi‑Fi installed |
| N233SB | Boeing 737-800 | 2016 | Stored | Parked since 2020 |
| N301SB | Boeing 757-200 | 2009 | Retired | Parted out |
| N318SB | Boeing 757-200 | 2010 | Retired | Sold to cargo operator |
| N410SB | Embraer 190 | 2011 | Active | Regional routes |
| N425SB | Embraer 190 | 2012 | Active | High-cycle airframe |
| N501SB | Boeing 767-300ER | 2008 | Active | Long-haul charter |
| N509SB | Boeing 767-300ER | 2009 | Active | Cabin refreshed in 2019 |
