# Need for Speed Releases by Month (Month Year Only)

| Game Title | Release (Month/Year) | Region |
|---|---|---|
| Need for Speed: Underground | Nov 2003 | NA/EU |
| Need for Speed: Underground 2 | Nov 2004 | NA/EU |
| Need for Speed: Most Wanted | Nov 2005 | NA/EU |
| Need for Speed: Carbon | Oct 2006 | NA/EU |
| Need for Speed: ProStreet | Nov 2007 | NA/EU |
| Need for Speed: Undercover | Nov 2008 | NA/EU |
| Need for Speed: Hot Pursuit | Nov 2010 | NA/EU |
| Need for Speed: The Run | Nov 2011 | NA/EU |
| Need for Speed: Most Wanted (2012) | Oct 2012 | NA/EU |
| Need for Speed Rivals | Nov 2013 | NA/EU |
