# Bottled Water pH by Brand (Selected Popular U.S. Brands)

| Brand | Water type / context | pH (reported/typical) | Notes |
|---|---|---:|---|
| Aquafina | Purified (RO), remineralized | 5.8 | Often slightly acidic after purification/CO2 exposure |
| Dasani | Purified with added minerals | 5.6 | Mineral blend can vary by region |
| Smartwater | Vapor-distilled, electrolytes added | 7.0 | Typically near neutral |
| LIFEWTR | Purified, electrolytes for taste | 6.7 | pH can vary by lot |
| Poland Spring | Spring water | 6.4 | Naturally occurring minerals |
| Deer Park | Spring water | 6.6 | Generally mildly acidic to near neutral |
| Ice Mountain | Spring water | 6.9 | Close to neutral |
| Arrowhead | Mountain spring water | 7.2 | Often slightly alkaline |
| Essentia | Ionized alkaline water (electrolytes added) | 9.5 | Marketed as high pH |
| CORE Hydration | Purified, electrolytes added | 7.4 | Marketed as “perfectly balanced” |
| Fiji | Artesian aquifer water | 7.7 | Naturally occurring silica |
| Evian | Natural spring water | 7.2 | Mineral-rich spring source |
