# External Debt as a Share of GDP by Country (Selected Economies, % of GDP)

| Region | Country | Reference year | External debt (% of GDP) | Notes |
| --- | --- | --- | --- | --- |
| North America | Canada | 2022 | 116.4% | Gross external debt burden relative to GDP |
| North America | Mexico | 2022 | 43.7% | Includes public and private external liabilities |
| Europe | Germany | 2022 | 170.2% | Large financial sector and cross-border banking exposure |
| Europe | France | 2022 | 252.6% | Higher ratio reflects sizable external liabilities |
| Europe | Italy | 2022 | 142.8% | External debt relative to economic output |
| Europe | Ireland | 2022 | 840.5% | Outlier driven by multinational and financial-sector balance sheets |
| Asia | Japan | 2022 | 82.1% | Lower ratio than many financial hubs |
| Asia | Singapore | 2022 | 503.9% | Financial hub; high external debt-to-GDP ratio |
| Middle East | United Arab Emirates | 2022 | 148.9% | External liabilities sizable vs GDP |
| Africa | South Africa | 2022 | 52.3% | Moderate external debt burden |
| South America | Brazil | 2022 | 37.6% | Lower ratio relative to GDP than many peers |
