# List of islands of England
> List of islands

| Name | Lake |
| --- | --- |
| Belle Isle | Windermere |
| Blake Holme | Windermere |
| Cherry Holm | Ullswater |
| Crag Holme | Windermere |
| Crow Holme | Windermere |
| Deergarth How Island | Thirlmere |
| Derwent Isle | Derwent Water |
| Fir Island | Coniston Water |
| Grass Holme | Windermere |
| Hawes How Island | Thirlmere |
| Hen Holme | Windermere |
| Heron Island | Rydal Water |
| Holme Islands | Crummock Water |
| Lady Holme | Windermere |
| Lillies of the Valley | Windermere |
| Ling Holme | Windermere |
| Lingy Holm | Ullswater |
| Little Isle | Rydal Water |
| Lord's Island | Derwent Water |
| Maiden Holme | Windermere |
| Norfolk Island | Ullswater |
| Oak Island | Coniston Water |
| Otter Island | Derwent Water |
| Otterbield Island | Derwent Water |
| Peel Island | Coniston Water |
| Ramp Holme | Windermere |
| Rampsholme Island | Derwent Water |
| Rough Holme | Windermere |
| Scale Island | Crummock Water |
| Silver Holme | Windermere |
| St Herbert's Island | Derwent Water |
| Thompson's Holme | Windermere |
| Unnamed island | Elter Water |
| Unnamed island | Grasmere |
| Wall Holm | Ullswater |
| Watness Coy | Devoke Water |
| Wood Howe | Haweswater Reservoir |
| Woodhouse Islands | Crummock Water |
