# Cephalosporin Antibiotics — Subclass List Using Compounds Only

| Drug Class | Generation / Subclass | Compound Name | Common Route |
| --- | --- | --- | --- |
| Cephalosporins | 1st generation | cefazolin | IV |
| Cephalosporins | 1st generation | cephalexin | Oral |
| Cephalosporins | 2nd generation | cefuroxime | Oral/IV |
| Cephalosporins | 2nd generation | cefaclor | Oral |
| Cephalosporins | 3rd generation | ceftriaxone | IV/IM |
| Cephalosporins | 3rd generation | cefotaxime | IV |
| Cephalosporins | 3rd generation | ceftazidime | IV |
| Cephalosporins | 4th generation | cefepime | IV |
| Cephalosporins | 5th generation | ceftaroline | IV |
