# Jessica Ennis - Hill
> Competition record

| Competition | 100 m hurdles | High jump | Shot put | 200 metres | Long jump | Javelin | 800 metres | Heptathlon Total |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2003 World Youth Championships | 13.86 sec | 1.75 m | 10.13 m | 23.73 sec | 5.47 m | 25.52 m | 2:18.21 | 5311 pts |
| 2004 World Junior Championships | 13.57 sec | 1.80 m | 10.52 m | 24.23 sec | 5.59 m | 28.04 m | 2:19.16 | 5542 pts |
| 2005 European Junior Championships | 13.46 sec | 1.79 m | 11.40 m | 24.29 sec | 6.19 m | 32.55 m | 2:17.23 | 5891 pts |
| 2005 Summer Universiade | 13.56 sec | 1.87 m | 12.26 m | 24.43 sec | 6.22 m | 28.94 m | 2:21.08 | 5910 pts |
| 2006 Commonwealth Games | 13.32 sec | 1.91 m | 11.87 m | 23.80 sec | 6.15 m | 36.39 m | 2:12.66 | 6269 pts |
| 2006 European Championships | 13.33 sec | 1.86 m | 12.72 m | 23.56 sec | 6.19 m | 36.65 m | 2:13.45 | 6287 pts |
| 2007 World Championships | 12.97 sec | 1.89 m | 11.93 m | 23.15 sec | 6.33 m | 38.07 m | 2:11.39 | 6469 pts |
| 2009 World Championships | 12.93 sec | 1.92 m | 14.14 m | 23.25 sec | 6.29 m | 43.54 m | 2:12.22 | 6731 pts |
| 2010 European Championships | 12.95 sec | 1.89 m | 14.05 m | 23.21 sec | 6.43 m | 46.71 m | 2:10.18 | 6823 pts |
| 2011 World Championships | 12.94 sec | 1.86 m | 14.67 m | 23.27 sec | 6.51 m | 39.95 m | 2:07.81 | 6751 pts |
| 2012 Olympic Games | 12.54 sec | 1.86 m | 14.28 m | 22.83 sec | 6.48 m | 47.49 m | 2:08.65 | 6955 pts |
| 2015 World Championships | 12.91 sec | 1.86 m | 13.73 m | 23.42 sec | 6.43 m | 42.51 m | 2:10.13 | 6669 pts |
| 2016 Olympic Games | 12.84 sec | 1.89 m | 13.86 m | 23.49 sec | 6.34 m | 46.06 m | 2:09.07 | 6775 pts |
