# Royal Canadian Mint numismatic coins ( 20 th century )
> 100 Dollar Gold

| Year | Theme | Artist | Mintage | Issue Price |
| --- | --- | --- | --- | --- |
| 1976 | Olympic Commemorative (14k) | Dora de Pédery-Hunt | 650,000 | $105.00 |
| 1976 | Olympic Commemorative (22k) | Dora de Pédery-Hunt | 350,000 | $150.00 |
| 1977 | Silver Jubilee, Queen Elizabeth II | Raymond Lee | 180,396 | $140.00 |
| 1978 | Canadian Unity Coin | Roger Savage | 200,000 | $150.00 |
| 1979 | International Year of Child | Carola Tietz | 250,000 | $185.00 |
| 1980 | Arctic Territories | Arnaldo Marchetti | 130,000 | $430.00 |
| 1981 | O Canada Commemorative | Roger Savage | 100,950 | $300.00 |
| 1982 | Patriation of Constitution | Friedrich Peter | 121,706 | $290.00 |
| 1983 | Sir Humphrey Gilbert ’s Landing (See Note 1) | John Jaciw | 83,128 | $310.00 |
| 1984 | Jacques Cartier Voyage of Discovery | Carola Tietz | 67,662 | $325.00 |
| 1985 | National Parks Centenary | Hector Greville | 58,520 | $325.00 |
| 1986 | International Year of Peace | Dora de Pédery-Hunt | 76,255 | $325.00 |
| 1987 | XV Olympic Winter Games | Friedrich Peter | 145,175 | $255.00 |
| 1988 | The Bowhead Whale | Robert R. Carmichael | 52,239 | $255.00 |
| 1989 | Sainte-Marie | David J. Craig | 63,881 | $245.00 |
| 1990 | International Literacy Year | John Mardon | 49,940 | $245.00 |
| 1991 | Empress of India | Karsten Smith | 33,966 | $245.00 |
| 1992 | City of Montreal , 350th Anniversary | Stewart Sherwood | 28,190 | $239.85 |
| 1993 | Era of the Horseless Carriage | John Mardon | 25,971 | $239.85 |
| 1994 | The Home Front | Paraskeva Clark | 17,603 | $249.95 |
| 1995 | Founding of Louisbourg | Lewis Parker | 16,916 | $249.95 |
| 1996 | First Major Gold Discovery in the Klondike | John Mantha | 19,744 | $259.95 |
| 1997 | 150th Anniversary, Alexander Graham Bell | Donald H. Curley | 14,030 | $259.95 |
| 1998 | 75th Anniv., Nobel Prize for Discovery of Insulin | Robert R. Carmichael | 11,220 | $259.95 |
| 1999 | 50th Anniv, Newfoundland ’s Confederation with Canada | J. Gale-Vaillancourt | 10,242 | $259.95 |
