# India  Official Languages by State UT with Administrative Centers

| State/Union Territory | Official Language(s) | Script | Administrative Center (Capital) | Additional Language Notes |
| --- | --- | --- | --- | --- |
| Maharashtra | Marathi | Devanagari | Mumbai | Widely used: Hindi, English |
| West Bengal | Bengali | Bengali | Kolkata | Also used: Nepali (in hills) |
| Tamil Nadu | Tamil | Tamil | Chennai | English used in administration |
| Karnataka | Kannada | Kannada | Bengaluru | Urdu used in some districts |
| Kerala | Malayalam | Malayalam | Thiruvananthapuram | English in education |
| Punjab | Punjabi | Gurmukhi | Chandigarh | Hindi and English also used |
| Jammu and Kashmir (UT) | Kashmiri, Dogri, Urdu, Hindi, English | Multiple | Srinagar (summer), Jammu (winter) | Bilingual signage common |
| Puducherry (UT) | Tamil, Telugu, Malayalam, French | Multiple | Puducherry | French legacy usage |
| Assam | Assamese | Assamese | Dispur | Bodo also recognized |
