# Fallout 4 Commonwealth Power Armor Frame & Notable Suit Spawn Checklist

| Item / Suit | Place to Travel (Commonwealth) | How to Obtain | Notes |
| --- | --- | --- | --- |
| Power Armor Frame (roof) | Museum of Freedom (Concord) | Found on the roof during "When Freedom Calls" | Common early-game pickup |
| T-45 Power Armor (partial suit) | Robotics Disposal Ground | In the cage near the military convoy | Often guarded by enemies nearby |
| T-51 Power Armor (partial suit) | National Guard Training Yard | In the armory area | Requires dealing with hostiles / triggers |
| T-60 Power Armor (partial suit) | Fort Hagen Satellite Array | On the elevated platform area | Good mid-game grab |
| Power Armor Frame | Atom Cats Garage | Frames can be found around the Atom Cats area | Also a hub for PA upgrades |
| Power Armor Frame | South Boston Military Checkpoint | Near the military staging area | Frequently contested area |
| Power Armor Frame | Mass Pike Tunnel (East entrance area) | Near the roadway / tunnel approach | Check both sides of the overpass |
| Power Armor Frame | West Everett Estates | In/near the courtyard buildings | Watch for nearby threats |
| Power Armor Frame | Cambridge Polymer Labs (exterior/adjacent) | Frame located around the facility grounds | Easy to miss if you go straight inside |
| Power Armor Frame | Federal Ration Stockpile | Near the entrance/compound | Useful early scavenging stop |
