# Citibank Routing Numbers Quick Guide (Channel-Oriented)

| Transfer category | When to use | Location / exception note | Routing number |
| --- | --- | --- | --- |
| ACH | Direct deposit / electronic payments | New Jersey | 021272655 |
| ACH | Standard ACH | New York (non-EAB) | 021000089 |
| ACH | Legacy customers | New York (former EAB customers) | 021001486 |
| Wire | Incoming wires | Maryland (statewide) | 254070116 |
| ACH | Standard ACH | Maryland (statewide) | 052002166 |
| Wire | Incoming wires | Nevada (Las Vegas branches 27/29/30/56) | 322271724 |
| ACH | Standard ACH | Nevada (Las Vegas branches 27/29/30/56) | 122401710 |
| ACH | Standard ACH | Northern California (SF & Central CA) | 321171184 |
| ACH | Standard ACH | Illinois | 271070801 |
