# London Major Stations — Borough, Operator and Interchange Type (Selected)

| Station | Borough / Local authority | Managed by | Primary mode | Interchange (Y/N) | Notes |
| --- | --- | --- | --- | --- | --- |
| Waterloo | Lambeth | Network Rail | National Rail | Y | Central London terminus |
| Victoria | Westminster | Network Rail | National Rail | Y | Terminus + Underground |
| Liverpool Street | City of London | Network Rail | National Rail | Y | Links to Overground |
| London Bridge | Southwark | Network Rail | National Rail | Y | Near South Bank |
| King's Cross | Camden | Network Rail | National Rail | Y | Adjacent to St Pancras |
| Paddington | Westminster | Network Rail | National Rail | Y | Heathrow services nearby |
| Euston | Camden | Network Rail | National Rail | Y | West Coast Main Line |
| Stratford | Newham | Network Rail | Mixed | Y | DLR and Underground connections |
| Canary Wharf | Tower Hamlets | TfL | Underground | Y | Jubilee line hub |
| Clapham Junction | Wandsworth | Network Rail | National Rail | Y | Major south London interchange |
